,Country,City,AQI_Value,AQI_Category,CO_Value,CO_Category,Ozone_Value,Ozone_Category,NO2_Value,NO2_Category,PM25_Value,PM25_Category,VOCs,SO2,Emissions
8455,Gambia,Sukuta,154,Unhealthy,1,Good,21,Good,1,Good,154,L3,397.3215123,3.934525916,L3
8456,Tunisia,Sulayman,103,Unhealthy for Sensitive Groups,3,Good,29,Good,15,Good,103,L2,272.5730436,6.493506072,L2
8457,Bulgaria,Sumen,41,Good,1,Good,41,Good,0,Good,35,L0,107.7338521,6.564894186,L0
8458,United States of America,Summit,101,Unhealthy for Sensitive Groups,3,Good,12,Good,26,Good,101,L2,248.8557329,7.239708693,L2
8459,Guatemala,Sumpango,124,Unhealthy for Sensitive Groups,3,,2,Good,1003.063334,Good,124,L2,330.8952304,7.466045725,L2
8460,Nigeria,Abonnema,65,Moderate,1,Good,,Good,0,Good,65,L1,159.9958987,3.8891493,L1
8461,Philippines,Abuyog,45,Good,1,Good,21,Good,1003.063334,Good,45,L0,95.879677,3.126957153,L0
8462,Brazil,Acara,31,Good,0,Good,14,Good,0,Good,31,L0,87.0838901,-1.043364011,L0
8463,Mexico,Acatic,52,Moderate,1,Good,30,Good,0,Good,52,L1,123.9522533,5.890532691,L1
8464,Germany,Achern,67,Moderate,1,Good,60,Moderate,0,Good,67,L1,182.3860879,2.374762175,L1
8465,India,Achhnera,180,Unhealthy,6,Good,45,Good,11,Good,180,L3,451.188623,15.86839751,L3
8466,Russian Federation,Akhty,74,Moderate,1,Good,34,Good,0,Good,74,L1,196.0371324,4.353838145,L1
8467,India,Akola,154,Unhealthy,1,Good,31,Good,3,Good,154,L3,404.0150035,1.867125618,L3
8468,India,Akot,157,Unhealthy,2,Good,22,Good,4,Good,157,L3,385.4114114,13.42415203,L3
8469,Kazakhstan,Aktau,152,Unhealthy,1,Good,32,Good,1003.063334,Good,152,L3,379.3406287,3.288437072,L3
8470,India,Alampur,119,Unhealthy for Sensitive Groups,2,Good,38,Good,5,Good,119,L2,301.7432893,8.714115073,L2
8471,Canada,Aldergrove,73,Moderate,2,,18,Good,14,Good,73,L1,202.8755132,2.10008547,L1
8472,United Kingdom of Great Britain and Northern Ireland,Alloa,37,Good,1,Good,37,Good,1,Good,35,L0,90.91617282,-6.327696656,L0
8473,Brazil,Alpinopolis,36,Good,1,Good,24,Good,1003.063334,Good,36,L0,89.05496304,0.965004162,L0
8474,Germany,Altenburg,54,Moderate,1,Good,47,Good,0,Good,54,L1,144.7814058,-6.887243532,L1
8475,Chad,Am Timan,76,Moderate,1,Good,17,Good,0,Good,76,L1,189.2277127,2.615685666,L1
8476,Japan,Amagasaki,85,Moderate,2,Good,19,Good,19,Good,85,L1,219.0252588,12.94323507,L1
8477,Brazil,Amargosa,23,Good,0,Good,,Good,0,Good,23,L0,46.98462579,-2.52642511,L0
8478,India,Anakapalle,101,Unhealthy for Sensitive Groups,3,Good,,Good,8,Good,101,L2,279.6432994,-3.130219288,L2
8479,Chile,Ancud,32,Good,0,,23,Good,0,Good,32,L0,71.5229077,9.501284955,L0
8480,Brazil,Andrelandia,41,Good,1,Good,21,Good,0,Good,41,L0,104.282473,1.423226183,L0
8481,Madagascar,Antsohihy,15,Good,1,Good,15,Good,0,Good,14,L0,42.17518964,3.721308089,L0
8482,Brazil,Araci,22,Good,0,Good,22,Good,0,Good,13,L0,79.12688134,5.941399846,L0
8483,,Arenzano,69,Moderate,1,Good,69,Moderate,0,Good,42,L0,164.2515422,6.415863825,L0
8484,Russian Federation,Argayash,38,Good,1,Good,38,Good,1,Good,12,L0,119.8370414,7.552562098,L0
8485,Colombia,Ariguani,80,Moderate,1,Good,,Good,0,Good,80,L1,212.5717682,8.302144948,L1
8486,Colombia,Armenia,66,Moderate,1,Good,19,Good,1,Good,66,L1,174.1709532,-4.930573163,L1
8487,India,Arsikere,62,Moderate,1,Good,,Good,5,Good,62,L1,150.1536631,-3.271738701,L1
8488,United States of America,Arvada,52,Moderate,1,Good,23,Good,7,Good,52,L1,140.7114124,9.655848313,L1
8489,Mauritania,Atar,169,Unhealthy,1,Good,32,Good,0,Good,169,L3,420.2651338,-0.108695715,L3
8490,France,Avion,47,Good,1,Good,38,Good,1,Good,47,L0,135.1666125,0.436770775,L0
8491,Brazil,Bady Bassitt,55,Moderate,1,Good,27,Good,0,Good,55,L1,132.7893797,-2.514212611,L1
8492,Brazil,Maribondo,24,Good,0,Good,24,Good,0,Good,16,L0,63.86841506,-0.024739447,L0
8493,Brazil,Marica,60,Moderate,1,Good,31,Good,2,Good,60,L1,149.4472691,2.053419682,L1
8494,Germany,Marienheide,54,Moderate,1,Good,46,Good,0,Good,54,L1,130.1247704,-0.887303438,L1
8495,Poland,Marki,40,Good,1,Good,40,Good,0,Good,27,L0,112.4131982,-1.465413724,L0
8496,United States of America,Marlborough,46,Good,1,Good,41,Good,1,Good,46,L0,125.3545875,5.393315461,L0
8497,Tunisia,Masakin,103,Unhealthy for Sensitive Groups,1,Good,103,Unhealthy for Sensitive Groups,0,Good,52,L1,274.590102,-0.238346334,L1
8498,Italy,Massarosa,76,Moderate,1,Good,76,Moderate,0,Good,37,L0,177.2012489,0.768438715,L0
8499,United Republic of Tanzania,Maswa,24,Good,1,Good,19,Good,1003.063334,Good,24,L0,75.64170702,-7.131391734,L0
8500,Brazil,Matriz De Camaragibe,24,Good,0,Good,24,Good,0,Good,15,L0,90.05448905,11.69100121,L0
8501,India,Mau Aima,180,Unhealthy,4,Good,93,Moderate,7,Good,180,L3,450.4835891,13.90912015,L3
8502,United States of America,Mayfield,70,Moderate,1,Good,50,Good,1,Good,70,L1,198.9514861,1.325969733,L1
8503,Democratic Republic of the Congo,Mbanza Ngungu,84,Moderate,2,Good,45,Good,0,Good,84,L1,212.3683873,1.104595322,L1
8504,United Republic of Tanzania,Mbulu,22,Good,0,Good,,Good,0,Good,22,L0,46.27590262,2.054443986,L0
8505,Saudi Arabia,Mecca,150,Unhealthy,1,Good,65,Moderate,0,Good,150,L3,376.9436756,3.717332052,L3
8506,United States of America,Mentor,58,Moderate,1,Good,36,Good,3,Good,58,L1,160.4820397,-2.579832848,L1
8507,Belgium,Merelbeke,49,Good,1,Good,37,Good,1003.063334,Good,49,L0,119.1182352,-8.952681145,L0
8508,Russian Federation,Metallostroy,29,Good,1,Good,29,Good,2,Good,15,L0,71.49661341,1.169620462,L0
8509,France,Metz,69,Moderate,1,,55,Moderate,0,Good,69,L1,183.4353943,-4.016872654,L1
8510,Brazil,Miguel Calmon,21,Good,0,Good,20,Good,0,Good,21,L0,57.53060117,2.856899734,L0
8511,Russian Federation,Minusinsk,32,Good,1,Good,24,Good,3,Good,32,L0,90.84622952,4.690407833,L0
8512,Italy,Modena,65,Moderate,1,Good,65,Moderate,0,Good,63,L1,169.8782954,-1.066063492,L1
8513,Germany,Moers,51,Moderate,1,Good,,Good,1,Good,51,L1,137.2962532,1.127078662,L1
8514,Hungary,Mohacs,65,Moderate,1,Good,65,Moderate,0,Good,51,L1,163.1769881,12.61520846,L1
8515,Italy,Montebelluna,83,Moderate,1,Good,54,Moderate,0,Good,83,L1,214.8173094,7.675642631,L1
8516,Colombia,Monteria,43,Good,1,Good,19,Good,0,Good,43,L0,103.2262699,1.538736146,L0
8517,Mexico,Monterrey,85,Moderate,2,Good,23,Good,6,Good,85,L1,230.3843362,17.05979663,L1
8518,Uruguay,Montevideo,26,Good,0,Good,,Good,1003.063334,Good,22,L0,63.65725283,-3.98468706,L0
8519,Canada,Moose Jaw,35,Good,1,Good,25,Good,0,Good,35,L0,103.7884749,-0.263473624,L0
8520,Brazil,Morada Nova,23,Good,0,Good,23,Good,0,Good,20,L0,60.16393039,1.447429146,L0
8521,Romania,Moreni,56,Moderate,1,,42,Good,0,Good,56,L1,147.0199901,-3.855035327,L1
8522,United States of America,Morgan Hill,43,Good,1,Good,32,Good,3,Good,43,L0,107.5503545,12.75154582,L0
8523,Belgium,Morlanwelz,55,Moderate,1,Good,42,Good,1,Good,55,L1,132.3400457,4.715760194,L1
8524,Venezuela (Bolivarian Republic of),Moron,85,Moderate,1,Good,43,Good,0,Good,85,L1,200.0523961,-0.149744284,L1
8525,Brazil,Mossoro,23,Good,0,Good,23,Good,0,Good,22,L0,51.94675841,4.238934757,L0
8526,Brazil,Mucuri,28,Good,0,Good,28,Good,0,Good,28,L0,71.76091147,2.730279241,L0
8527,Germany,Muhldorf,71,Moderate,1,,65,Moderate,0,Good,71,L1,184.6187918,2.276744579,L1
8528,Malawi,Mulanje,58,Moderate,1,Good,,Good,0,Good,58,L1,160.1037931,-2.242575834,L1
8529,India,Mundwa,212,Very Unhealthy,1,Good,29,Good,2,Good,212,L4,530.5424254,-3.381059628,L4
8530,Italy,Mussomeli,54,Moderate,1,Good,54,Moderate,0,Good,50,L0,131.1803924,14.73400499,L0
8531,Japan,Mutsu,46,Good,1,Good,38,Good,1,Good,46,L0,105.5728521,-2.963674426,L0
8532,Poland,Myszkow,52,Moderate,1,Good,44,Good,1,Good,52,L1,139.8006362,12.2898276,L1
8533,Thailand,Na Klang,74,Moderate,2,Good,12,Good,4,Good,74,L1,203.8319452,1.376204262,L1
8534,United Republic of Tanzania,Naberera,17,Good,0,Good,17,Good,0,Good,12,L0,60.16330268,5.950162838,L0
8535,Honduras,Nacaome,68,Moderate,1,Good,27,Good,1,Good,68,L1,182.0993275,6.12716545,L1
8536,Philippines,Naga,72,Moderate,1,Good,20,Good,1,Good,72,L1,191.3854332,7.127093501,L1
8537,India,Nagari,112,Unhealthy for Sensitive Groups,2,Good,38,Good,4,Good,112,L2,301.9762378,9.260071361,L2
8538,Japan,Nago,54,Moderate,2,Good,23,Good,14,Good,54,L1,143.3208146,-2.457828112,L1
8539,,Nagua,112,Unhealthy for Sensitive Groups,1,Good,39,Good,1003.063334,Good,112,L2,291.4612968,0.418270038,L2
8540,Germany,Taunusstein,61,Moderate,1,Good,61,Moderate,0,Good,56,L1,154.2921614,-3.040239796,L1
8541,Lithuania,Taurage,35,Good,1,Good,35,Good,0,Good,22,L0,78.87956629,4.746505304,L0
8542,Poland,Tczew,37,Good,1,Good,37,Good,0,Good,24,L0,90.661511,-2.816721661,L0
8543,Honduras,Tela,79,Moderate,1,,21,Good,0,Good,79,L1,202.4084096,-6.105235885,L1
8544,United States of America,Temecula,66,Moderate,2,Good,14,Good,13,Good,66,L1,170.6078537,4.412613317,L1
8545,Mexico,Tepalcatepec,44,Good,1,Good,27,Good,0,Good,44,L0,134.2628585,-7.245395262,L0
8546,Mexico,Tepalcingo,68,Moderate,1,Good,32,Good,1,Good,68,L1,175.8127717,5.093690974,L1
8547,Mexico,Tepeapulco,384,Hazardous,3,Good,25,Good,6,Good,384,L5,976.7884344,1.111852383,L5
8548,Brazil,Teresopolis,51,Moderate,1,Good,24,Good,1,Good,51,L1,128.1492276,-0.40289874,L1
8549,United States of America,The Hammocks,34,Good,1,,34,Good,1,Good,28,L0,86.88324114,-7.602079866,L0
8550,Japan,Toki,97,Moderate,3,,,Good,1003.063334,Good,97,L1,234.2099236,15.65051107,L1
8551,United States of America,Tomball,29,Good,0,Good,21,Good,2,Good,29,L0,70.07671987,-5.314574435,L0
8552,Japan,Tomobe,60,Moderate,1,Good,19,Good,10,Good,60,L1,160.2698139,1.979993827,L1
8553,United States of America,Toms River,48,Good,1,,48,Good,1,Good,42,L0,125.0756018,-5.158692962,L0
8554,Romania,Topoloveni,51,Moderate,1,Good,45,Good,0,Good,51,L1,141.9293862,-0.378339042,L1
8555,United States of America,Totowa,52,Moderate,1,Good,45,Good,2,Good,52,L1,136.8125395,12.55910891,L1
8556,United States of America,Townsend,39,Good,1,,34,Good,1,Good,39,L0,98.97546268,5.287383676,L0
8557,Russian Federation,Troitskoye,46,Good,1,Good,,Good,0,Good,18,L0,141.4829686,0.181845018,L0
8558,Netherlands,Tubbergen,36,Good,1,Good,36,Good,0,Good,29,L0,94.06096431,3.629132602,L0
8559,United States of America,Tucson,80,Moderate,1,Good,20,Good,6,Good,80,L1,216.6300097,0.997204717,L1
8560,Venezuela (Bolivarian Republic of),Tucupita,43,Good,0,Good,17,Good,0,Good,43,L0,108.4879079,1.537897101,L0
8561,Mexico,Tula De Allende,147,Unhealthy for Sensitive Groups,1,Good,32,Good,2,Good,147,L2,379.5959948,7.519343595,L2
8562,India,Tumsar,172,Unhealthy,3,Good,44,Good,7,Good,172,L3,444.2801566,5.74451005,L3
8563,Pakistan,Ubauro,166,Unhealthy,2,Good,13,Good,15,Good,166,L3,422.0849197,6.69995737,L3
8564,Russian Federation,Uchkeken,34,Good,1,Good,34,Good,1,Good,31,L0,66.45517077,4.982477488,L0
8565,India,Udhampur,154,Unhealthy,3,,,Good,2,Good,154,L3,390.1825246,5.769271764,L3
8566,Russian Federation,Udomlya,29,Good,1,Good,29,Good,0,Good,12,L0,89.80460048,0.120370052,L0
8567,Netherlands,Uithoorn,39,Good,1,Good,39,Good,0,Good,30,L0,107.7748083,1.174083217,L0
8568,Mexico,Uruapan,44,Good,1,,28,Good,0,Good,44,L0,119.4583888,7.295926258,L0
8569,Russian Federation,Ust Donetskiy,47,Good,1,Good,47,Good,0,Good,26,L0,105.2774307,7.712083525,L0
8570,Democratic Republic of the Congo,Uvira,50,Good,1,Good,,Good,0,Good,50,L0,122.7954493,-1.888971656,L0
8571,Russian Federation,Uzhur 4,39,Good,1,Good,26,Good,4,Good,39,L0,106.6135763,2.495053328,L0
8572,Brazil,Vacaria,14,Good,1,Good,13,Good,0,Good,14,L0,44.10383277,0.035390654,L0
8573,Russian Federation,Vakhrushi,29,Good,1,Good,28,Good,2,Good,29,L0,89.6466678,7.799762149,L0
8574,Chile,Valdivia,23,Good,1,Good,21,Good,1,Good,23,L0,61.05133245,1.443984801,L0
8575,United States of America,Valdosta,86,Moderate,1,Good,86,Moderate,0,Good,24,L0,224.0582409,14.80461909,L0
8576,Brazil,Valinhos,89,Moderate,2,Good,23,Good,3,Good,89,L1,227.6637424,6.689486949,L1
8577,Mexico,Valparaiso,63,Moderate,1,,28,Good,0,Good,63,L1,152.6305726,9.709982271,L1
8578,Cuba,Varadero,37,Good,0,Good,37,Good,0,Good,25,L0,74.94208669,-3.073054134,L0
8579,France,Vaulx En Velin,70,Moderate,1,Good,53,Moderate,0,Good,70,L1,184.3100969,3.858610745,L1
8580,Italy,Veglie,74,Moderate,1,Good,73,Moderate,0,Good,74,L1,191.7394721,6.880865492,L1
8581,Croatia,Velika Gorica,76,Moderate,1,Good,67,Moderate,0,Good,76,L1,188.8182496,-1.366501209,L1
8582,Bosnia and Herzegovina,Velika Kladusa,83,Moderate,1,Good,44,Good,1003.063334,Good,83,L1,196.3082694,3.901713559,L1
8583,Senegal,Velingara,182,Unhealthy,1,Good,34,Good,0,Good,182,L3,466.2973951,9.059295161,L3
8584,Hungary,Veresegyhaz,64,Moderate,1,Good,64,Moderate,0,Good,58,L1,162.3407993,2.16274996,L1
8585,Spain,Verin,35,Good,1,Good,35,Good,0,Good,9,L0,98.06874722,-0.458762523,L0
8586,Brazil,Vespasiano,42,Good,1,Good,,Good,0,Good,42,L0,128.6404853,12.81479728,L0
8587,Brazil,Vicencia,25,Good,0,Good,25,Good,0,Good,19,L0,46.0856912,-3.858726508,L0
8588,,Vico Equense,73,Moderate,1,Good,73,Moderate,0,Good,56,L1,180.5039919,4.579453142,L1
8589,Chile,Vicuna,22,Good,0,Good,22,Good,0,Good,13,L0,57.90624387,-1.541381692,L0
8590,Georgia,Surami,69,Moderate,1,Good,,Good,1003.063334,Good,69,L1,192.0482617,-0.884171194,L1
8591,Japan,Susono,73,Moderate,2,Good,30,Good,6,Good,73,L1,171.1359698,9.308285414,L1
8592,Russian Federation,Svetlograd,48,Good,1,Good,48,Good,0,Good,20,L0,144.3586103,2.772320442,L0
8593,Czechia,Svitavy,73,Moderate,1,Good,42,Good,0,Good,73,L1,188.858559,5.829432327,L1
8594,Poland,Sycow,44,Good,1,Good,44,Good,0,Good,39,L0,114.0399934,-7.475728606,L0
8595,Russian Federation,Syzran,40,Good,1,Good,40,Good,0,Good,30,L0,103.0194024,6.31559891,L0
8596,Tunisia,Tabarqah,73,Moderate,1,Good,73,Moderate,1,Good,24,L0,183.1373697,0.197020441,L0
8597,Tunisia,Tabursuq,57,Moderate,1,Good,57,Moderate,0,Good,27,L0,157.9811676,-5.594259756,L0
8598,Ghana,Tafo,39,Good,1,Good,24,Good,0,Good,39,L0,91.81479246,13.22369777,L0
8599,Russian Federation,Talmenka,42,Good,1,Good,28,Good,1003.063334,Good,42,L0,113.4541418,6.805067632,L0
8600,Pakistan,Tando Jam,162,Unhealthy,1,Good,24,Good,2,Good,162,L3,406.1581833,4.936387063,L3
8601,China,Tangzhai,151,Unhealthy,6,Good,92,Moderate,16,Good,151,L3,374.8786655,19.04709425,L3
8602,,Tanjong Tokong,131,Unhealthy for Sensitive Groups,3,Good,,Good,6,Good,131,L2,358.3597518,8.637846407,L2
8603,Mexico,Tantoyuca,70,Moderate,1,Good,31,Good,3,Good,70,L1,184.1905073,-0.193070051,L1
8604,United States of America,Tarpon Springs,81,Moderate,1,Good,81,Moderate,1,Good,13,L0,213.6326554,2.925161948,L0
8605,Myanmar,Taunggyi,39,Good,1,Good,9,Good,1,Good,39,L0,113.8777678,0.408168934,L0
8606,Pakistan,Vihari,224,Very Unhealthy,5,,18,Good,19,Good,224,L4,550.7865005,8.498235536,L4
8607,United Republic of Tanzania,Vikindu,66,Moderate,1,Good,17,Good,0,Good,66,L1,187.5229191,-2.488518329,L1
8608,France,Villeneuve Le Roi,72,Moderate,1,Good,,Good,1,Good,72,L1,159.9104282,-1.050102879,L1
8609,France,Villers Les Nancy,75,Moderate,1,Good,54,Moderate,0,Good,75,L1,184.8123359,8.272927663,L1
8610,India,Vinukonda,150,Unhealthy,2,Good,,Good,6,Good,150,L3,375.4096833,7.260377194,L3
8611,United States of America,Vista,68,Moderate,2,Good,,Good,16,Good,68,L1,180.8172336,3.084934737,L1
8612,South Africa,Vredendal,61,Moderate,0,Good,23,Good,0,Good,61,L1,159.6871827,-3.140159322,L1
8613,Russian Federation,Vyazniki,38,Good,1,Good,38,Good,0,Good,19,L0,98.33185259,1.773015106,L0
8614,Belgium,Waasmunster,49,Good,1,Good,37,Good,2,Good,49,L0,127.3800266,-4.619249015,L0
8615,Algeria,Wahran,43,Good,1,Good,41,Good,1,Good,43,L0,102.7197698,4.433152997,L0
8616,India,Walajabad,100,Unhealthy for Sensitive Groups,2,,,Good,3,Good,100,L2,240.0276761,10.32735741,L2
8617,Belgium,Walcourt,56,Moderate,1,,,Good,1,Good,56,L1,152.2651162,15.6348633,L1
8618,Germany,Waldkirchen,70,Moderate,1,Good,,Good,0,Good,70,L1,186.9370611,-1.716293613,L1
8619,Netherlands,Weesp,38,Good,0,Good,38,Good,0,Good,30,L0,115.8449438,6.51901223,L0
8620,Argentina,Villa Constitucion,141,Unhealthy for Sensitive Groups,2,Good,12,Good,1003.063334,Good,141,L2,349.599829,2.063942772,L2
8621,France,Villejuif,72,Moderate,1,Good,44,Good,1,Good,72,L1,191.9281521,-1.84228145,L1
8622,United Republic of Tanzania,Wete,35,Good,1,Good,21,Good,0,Good,35,L0,89.66293272,-1.844490644,L0
8623,United States of America,Glendora,102,Unhealthy for Sensitive Groups,3,,23,Good,21,Good,102,L2,271.9047499,8.103678632,L2
8624,Indonesia,Godean,162,Unhealthy,6,,14,Good,17,Good,162,L3,420.2196278,8.146031882,L3
8625,Italy,Goito,82,Moderate,1,Good,61,Moderate,0,Good,82,L1,212.112094,0.765771144,L1
8626,Japan,Gojo,62,Moderate,1,,27,Good,6,Good,62,L1,156.6046984,1.597993346,L1
8627,Germany,Goldbach,59,Moderate,1,Good,57,Moderate,0,Good,59,L1,162.1093218,0.100160801,L1
8628,Ethiopia,Gondar,58,Moderate,1,Good,19,Good,0,Good,58,L1,156.4690452,-0.262922763,L1
8629,Poland,Gorzow Wielkopolski,43,Good,1,Good,43,Good,0,Good,27,L0,105.655596,-8.345798813,L0
8630,United Kingdom of Great Britain and Northern Ireland,Gravesend,33,Good,0,Good,33,Good,0,Good,27,L0,74.22201327,2.434766451,L0
8631,Germany,Grefrath,51,Moderate,1,Good,39,Good,1,Good,51,L1,129.614671,4.138357448,L1
8632,Greece,Grevena,97,Moderate,1,Good,40,Good,0,Good,97,L1,262.6541382,-0.186724249,L1
8633,Netherlands,Groningen,37,Good,1,Good,37,Good,0,Good,36,L0,108.9648716,5.601921352,L0
8634,Namibia,Grootfontein,32,Good,1,Good,32,Good,0,Good,14,L0,73.8767253,10.78453766,L0
8635,Italy,Grugliasco,77,Moderate,1,Good,55,Moderate,0,Good,77,L1,185.8224258,3.917899164,L1
8636,Poland,Gryfino,43,Good,1,Good,43,Good,1003.063334,Good,22,L0,125.2468385,10.4512889,L0
8637,Spain,Guadix,36,Good,0,Good,36,Good,0,Good,16,L0,83.64364095,13.1906596,L0
8638,China,Guangshui,167,Unhealthy,8,,32,Good,23,Good,167,L3,427.5929532,29.05262345,L3
8639,Guatemala,Guastatoya,55,Moderate,1,Good,23,Good,0,Good,55,L1,136.3392878,-2.141180433,L1
8640,Guatemala,Guatemala,67,Moderate,2,,17,Good,3,Good,67,L1,188.6704492,-0.315315032,L1
8641,China,Gucheng,162,Unhealthy,7,Good,25,Good,22,Good,162,L3,402.295752,12.37785002,L3
8642,China,Guiren,156,Unhealthy,6,Good,45,Good,18,Good,156,L3,406.4336153,13.44357601,L3
8643,Pakistan,Gujranwala,175,Unhealthy,6,,35,Good,15,Good,175,L3,444.3485865,20.73326,L3
8644,Turkey,Gurgentepe,43,Good,1,Good,43,Good,0,Good,35,L0,115.0219485,6.936206105,L0
8645,India,Gursarai,168,Unhealthy,3,Good,104,Unhealthy for Sensitive Groups,4,Good,168,L3,405.2969142,1.383564352,L3
8646,Russian Federation,Gusev,34,Good,1,Good,34,Good,0,Good,21,L0,67.97086647,0.741712958,L0
8647,Germany,Haan,54,Moderate,1,Good,,Good,1,Good,54,L1,137.7943406,3.58999896,L1
8648,Viet Nam,Hai Phong,160,Unhealthy,9,Good,17,Good,1003.063334,Good,160,L3,407.4690606,10.75420011,L3
8649,Philippines,Halayhay,60,Moderate,1,Good,26,Good,3,Good,60,L1,143.7480217,3.868342288,L1
8650,India,Handwara,142,Unhealthy for Sensitive Groups,2,Good,31,Good,3,Good,142,L2,349.1130659,-0.342177955,L2
8651,India,Hapur,179,Unhealthy,7,Good,37,Good,1003.063334,Good,179,L3,458.1147263,6.346394332,L3
8652,United States of America,Hazel Crest,58,Moderate,1,Good,37,Good,4,Good,58,L1,155.6285448,-0.934926397,L1
8653,Netherlands,Heerhugowaard,37,Good,0,Good,37,Good,0,Good,32,L0,96.1225894,4.055105274,L0
8654,Belgium,Herent,53,Moderate,1,Good,37,Good,1,Good,53,L1,145.3020172,5.820578555,L1
8655,Japan,Higashiyamato,86,Moderate,2,Good,18,Good,19,Good,86,L1,208.257977,6.083269583,L1
8656,United States of America,Hilo,57,Moderate,0,Good,28,Good,0,Good,57,L1,143.9406508,6.958068303,L1
8657,Japan,Himeji,71,Moderate,2,Good,32,Good,9,Good,71,L1,198.9787761,10.02791617,L1
8658,France,Hirson,58,Moderate,1,Good,47,Good,0,Good,58,L1,150.6832213,4.82190671,L1
8659,Viet Nam,Hoa Binh,163,Unhealthy,9,Good,2,Good,19,Good,163,L3,413.7631251,18.53190925,L3
8660,Germany,Hochstadt,61,Moderate,1,Good,51,Moderate,0,Good,61,L1,180.5594659,4.447733526,L1
8661,Denmark,Holbaek,45,Good,1,Good,45,Good,0,Good,13,L0,103.5065783,3.0617741,L0
8662,India,Hosakote,53,Moderate,1,Good,24,Good,2,Good,53,L1,145.4643037,-7.071713633,L1
8663,Burkina Faso,Hounde,39,Good,1,Good,22,Good,0,Good,39,L0,119.1398628,9.477424224,L0
8664,China,Huangzhai,161,Unhealthy,7,Good,56,Moderate,22,Good,161,L3,404.2514207,16.58761416,L3
8665,Netherlands,Hulst,43,Good,1,Good,38,Good,1,Good,43,L0,121.0963079,-2.281637229,L0
8666,Brazil,Ibate,58,Moderate,1,Good,28,Good,0,Good,58,L1,140.179805,10.9390831,L1
8667,Brazil,Ibicui,24,Good,0,Good,24,Good,0,Good,23,L0,58.13267604,-0.949899341,L0
8668,Madagascar,Ifanadiana,73,Moderate,2,Good,9,Good,1,Good,73,L1,191.3496642,5.061154987,L1
8669,,Ilfracombe,41,Good,1,Good,22,Good,2,Good,41,L0,115.4856667,8.917877978,L0
8670,France,Illzach,65,Moderate,1,,55,Moderate,0,Good,65,L1,178.7093651,4.900696792,L1
8671,Romania,Ineu,46,Good,1,Good,46,Good,0,Good,45,L0,135.6962859,10.47687921,L0
8672,Belgium,Ingelmunster,40,Good,1,Good,38,Good,1003.063334,Good,40,L0,104.3255344,2.039492505,L0
8673,Greece,Iraklion,52,Moderate,1,Good,48,Good,0,Good,52,L1,146.9361176,12.25586606,L1
8674,Iran (Islamic Republic of),Iranshahr,157,Unhealthy,1,Good,42,Good,0,Good,157,L3,394.0769516,-0.089014499,L3
8675,Brazil,Itanhem,25,Good,0,Good,25,Good,0,Good,22,L0,76.52091312,8.588111647,L0
8676,Japan,Itoman,57,Moderate,2,Good,20,Good,21,Good,57,L1,149.574888,-5.725546094,L1
8677,Brazil,Jacupiranga,21,Good,0,Good,20,Good,0,Good,21,L0,61.95677907,-3.500960257,L0
8678,India,Jahazpur,170,Unhealthy,2,Good,21,Good,7,Good,170,L3,434.2350787,7.089830692,L3
8679,Iran (Islamic Republic of),Jahrom,67,Moderate,0,Good,42,Good,0,Good,67,L1,156.4529499,-0.002227131,L1
8680,Mexico,Jalacingo,90,Moderate,2,Good,21,Good,4,Good,90,L1,218.7587814,5.2262569,L1
8681,Mexico,Jaltipan,54,Moderate,1,Good,19,Good,1,Good,54,L1,141.0254144,4.008254601,L1
8682,Finland,Jarvenpaa,35,Good,1,Good,35,Good,1,Good,7,L0,75.6272092,-2.154513041,L0
8683,Germany,Jena,54,Moderate,1,Good,47,Good,0,Good,54,L1,148.312111,-1.779648074,L1
8684,Indonesia,Jepara,132,Unhealthy for Sensitive Groups,3,Good,,Good,14,Good,132,L2,343.7155597,8.560610244,L2
8685,Haiti,Jeremie,87,Moderate,1,Good,32,Good,0,Good,87,L1,225.7717055,0.468335241,L1
8686,India,Jind,167,Unhealthy,4,Good,106,Unhealthy for Sensitive Groups,8,Good,167,L3,411.2886599,15.90516929,L3
8687,Czechia,Jindrichuv Hradec,77,Moderate,1,Good,49,Good,0,Good,77,L1,211.3013894,2.840264223,L1
8688,Lithuania,Jonava,35,Good,1,Good,35,Good,0,Good,22,L0,112.8721064,7.393756216,L0
8689,Brazil,Juazeiro,22,Good,0,Good,22,Good,0,Good,12,L0,61.47076827,4.214258347,L0
8690,Democratic Republic of the Congo,Kabalo,101,Unhealthy for Sensitive Groups,2,Good,40,Good,2,Good,101,L2,262.6053538,2.594194714,L2
8691,Zimbabwe,Kadoma,25,Good,0,Good,25,Good,0,Good,22,L0,69.51738655,-7.901643935,L0
8692,Indonesia,Kadungora,212,Very Unhealthy,12,Good,2,Good,32,Good,212,L4,540.3036919,29.52470684,L4
8693,Mexico,Kanasin,59,Moderate,1,,21,Good,1,Good,59,L1,151.3044124,-1.094545383,L1
8694,Kenya,Kapsabet,110,Unhealthy for Sensitive Groups,3,Good,16,Good,3,Good,110,L2,279.6543576,5.381209723,L2
8695,India,Karaikkudi,108,Unhealthy for Sensitive Groups,2,Good,21,Good,6,Good,108,L2,284.057176,4.845787792,L2
8696,Kazakhstan,Karatau,78,Moderate,1,Good,,Good,1,Good,78,L1,223.4562416,3.544942159,L1
